Date,People_fully_vaccinated
2021-12-30,37865247.0
2021-12-31,37865247.0
2022-01-01,37865247.0
2022-01-02,37865247.0
2022-01-03,38016879.0
2022-01-04,38028178.0
2022-01-05,38041112.0
2022-01-06,38041112.0
2022-01-07,38052240.0
2022-01-08,38052240.0
2022-01-09,38052240.0
2022-01-10,38079025.0
2022-01-11,38093934.0
2022-01-12,38108556.0
2022-01-13,38125469.0
2022-01-14,38125469.0
2022-01-15,38144506.0
2022-01-16,38144506.0
2022-01-17,38173059.0
