Date;Mask_Inside;Mask_Outside;Hard_Lockdown;Partial_lockdown;Partial Restrictions
03/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
04/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
05/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
06/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
07/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
08/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
09/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
10/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
11/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
12/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
13/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
14/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
15/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
16/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
17/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
18/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
19/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
20/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
21/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
22/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
23/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
24/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
25/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
26/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
27/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
28/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
29/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
30/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
31/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
01/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
02/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
03/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
04/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
05/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
06/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
07/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
08/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
09/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
10/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
11/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
12/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
13/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
14/08/2020;TRUE;FALSE;FALSE;FALSE;TRUE
15/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
16/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
17/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
18/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
19/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
20/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
21/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
22/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
23/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
24/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
25/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
26/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
27/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
28/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
29/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
30/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
31/08/2020;TRUE;TRUE;FALSE;FALSE;TRUE
01/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
02/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
03/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
04/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
05/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
06/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
07/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
08/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
09/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
10/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
11/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
12/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
13/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
14/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
15/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
16/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
17/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
18/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
19/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
20/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
21/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
22/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
23/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
24/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
25/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
26/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
27/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
28/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
29/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
30/09/2020;TRUE;TRUE;FALSE;FALSE;TRUE
01/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
02/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
03/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
04/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
05/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
06/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
07/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
08/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
09/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
10/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
11/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
12/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
13/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
14/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
15/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
16/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
17/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
18/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
19/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
20/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
21/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
22/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
23/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
24/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
25/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
26/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
27/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
28/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
29/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
30/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
31/10/2020;TRUE;TRUE;FALSE;FALSE;TRUE
01/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
02/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
03/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
04/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
05/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
06/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
07/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
08/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
09/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
10/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
11/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
12/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
13/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
14/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
15/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
16/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
17/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
18/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
19/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
20/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
21/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
22/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
23/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
24/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
